Ti,Fe,Ni,CSI,Ti2Ni
51.2,2.8,46,86083.87621,6.702721
51.2,2.7,46.1,90662.53639,6.7047341
51.2,2.6,46.2,83995.2821,6.707011
51.2,2.5,46.3,91873.5292,6.7098349
51.2,2.4,46.4,92228.99196,6.711711
51.2,2.3,46.5,88989.90317,6.7138795
51.2,2.2,46.6,99758.01183,6.7160683
51.2,2.1,46.7,99388.62193,6.7181507
51.2,2,46.8,99069.67644,6.7197581
51.2,1.9,46.9,116053.9019,6.7214727
51.2,1.8,47,118247.104,6.7236214
51.2,1.7,47.1,123597.8235,6.7252389
51.2,1.6,47.2,143878.7348,6.7267608
51.2,1.5,47.3,148631.8571,6.7277402
51.3,0,48.7,63329.76947,7.1306087
51.3,0.1,48.6,67833.45946,7.1405735
51.3,0.2,48.5,72583.1652,7.1497037
51.3,0.3,48.4,77603.40894,7.1575782
51.3,0.4,48.3,82987.1848,7.1647667
51.3,0.5,48.2,88544.75024,7.1710226
51.3,0.6,48.1,94490.83961,7.1765087
51.3,3.7,45,120201.6825,7.1776319
51.3,3.6,45.1,115047.0455,7.1802333
51.3,0.7,48,100559.8726,7.1814007
51.3,3.5,45.2,112954.2899,7.1829994
51.3,0.8,47.9,107133.2391,7.1854465
51.3,3.4,45.3,107401.8122,7.1857697
51.3,3.3,45.4,112727.6247,7.1886311
51.3,0.9,47.8,113847.7477,7.1888262
51.3,3.2,45.5,103229.6276,7.19144
51.3,1,47.7,120661.2805,7.1920481
51.3,1.1,47.6,127619.6263,7.1936971
51.3,3.1,45.6,101009.3511,7.194204
51.3,1.2,47.5,134589.2974,7.1953478
51.3,1.3,47.4,142237.1198,7.1961701
51.3,1.4,47.3,148379.5518,7.1966189
51.3,1.6,47.1,161366.4195,7.1967949
51.3,3,45.7,102096.3053,7.1970716
51.3,1.5,47.2,154884.2843,7.1971142
51.3,2.9,45.8,106694.1553,7.1999019
51.3,2.8,45.9,103757.8751,7.2032898
51.3,2.7,46,97400.94256,7.205608
51.3,2.6,46.1,101325.9457,7.2085016
51.3,2.5,46.2,109108.8767,7.2116754
51.3,2.4,46.3,109133.8293,7.2144081
51.3,2.3,46.4,109015.1762,7.2165569
51.3,2.2,46.5,115783.1647,7.2191464
51.3,2.1,46.6,115112.1075,7.2213334
51.3,2,46.7,120959.6911,7.2234476
51.3,1.9,46.8,130227.0125,7.2260098
51.3,1.8,46.9,139039.0823,7.2280198
51.3,1.7,47,148015.3309,7.2300071
51.4,0,48.6,59104.59083,7.6353094
51.4,0.1,48.5,63337.17793,7.6457564
51.4,0.2,48.4,67494.363,7.6550912
51.4,0.3,48.3,72266.57877,7.6632561
51.4,0.4,48.2,77083.60216,7.6706499
51.4,0.5,48.1,82235.64627,7.6772265
51.4,3.6,45,137452.9717,7.6809083
51.4,0.6,48,87718.85885,7.6827096
51.4,3.5,45.1,121515.6803,7.6842628
51.4,3.4,45.2,126582.893,7.6874544
51.4,0.7,47.9,93336.89211,7.6877508
51.4,3.3,45.3,114231.484,7.6908843
51.4,0.8,47.8,99136.68395,7.6918509
51.4,3.2,45.4,122860.0685,7.6940876
51.4,0.9,47.7,105166.4522,7.6954413
51.4,3.1,45.5,116851.794,7.6975397
51.4,1,47.6,111698.626,7.6982515
51.4,3,45.6,121730.5129,7.7007785
51.4,1.1,47.5,118055.346,7.7010618
51.4,1.8,46.8,162492.7916,7.7012386
51.4,1.2,47.4,124450.1912,7.7021405
51.4,1.7,46.9,155029.4626,7.7022326
51.4,1.6,47,148999.6894,7.7025334
51.4,1.4,47.2,136892.9554,7.703084
51.4,1.3,47.3,131434.6998,7.7031574
51.4,1.5,47.1,143257.2954,7.7035357
51.4,2.9,45.7,119061.9486,7.7041166
51.4,2.8,45.8,116129.6594,7.7074072
51.4,2.7,45.9,112970.5709,7.7108086
51.4,2.6,46,109984.8805,7.7140193
51.4,2.5,46.1,124389.663,7.7171989
51.4,2.4,46.2,116924.6033,7.720336
